"AgeGroup","Parameter","Mean","2.5%","97.5%","n.sample","% accept","n.effective","Geweke.diag","AgeLabel"
1,"(Intercept)",-6.8097,-6.885,-6.734,50000,27.2,3207.9,-3.1,"0–4"
1,"dep_rate",0.323,0.1089,0.534,50000,27.2,3915.3,3.2,"0–4"
1,"alpha",0.1175,0.0808,0.1546,50000,35.5,6585.4,3.6,"0–4"
1,"tau2.int",0.1717,0.144,0.2019,50000,100,815.8,-0.9,"0–4"
1,"tau2.slo",0.036,0.01,0.0759,50000,100,33.6,-2.5,"0–4"
1,"rho.int",0.9861,0.9639,0.9984,50000,41,4218.7,1.8,"0–4"
1,"rho.slo",0.3587,0.0186,0.9694,50000,31.8,15.1,6.1,"0–4"
2,"(Intercept)",-9.3952,-9.5977,-9.1901,50000,38.9,2821.9,1.4,"5–9"
2,"dep_rate",0.9818,0.3903,1.5637,50000,38.9,3442.2,-1.5,"5–9"
2,"alpha",0.2406,0.1299,0.3507,50000,39.1,10928.5,0.7,"5–9"
2,"tau2.int",0.1677,0.0865,0.2551,50000,100,77.7,0.1,"5–9"
2,"tau2.slo",0.0223,0.003,0.0865,50000,100,10.7,-2.3,"5–9"
2,"rho.int",0.9303,0.7485,0.9938,50000,35.9,120.5,0.5,"5–9"
2,"rho.slo",0.3765,0.0153,0.8847,50000,30.6,20.1,0.2,"5–9"
3,"(Intercept)",-9.1193,-9.2949,-8.9361,50000,38.2,2152.4,-1.7,"10–14"
3,"dep_rate",0.8641,0.3409,1.3709,50000,38.2,2692,1.6,"10–14"
3,"alpha",0.0939,-8e-04,0.188,50000,34.2,10536.6,0.6,"10–14"
3,"tau2.int",0.1694,0.085,0.2604,50000,100,72.1,0.2,"10–14"
3,"tau2.slo",0.0084,0.0017,0.0234,50000,100,20.1,0.4,"10–14"
3,"rho.int",0.9171,0.7543,0.9897,50000,39.6,212.1,-1,"10–14"
3,"rho.slo",0.3989,0.0269,0.8846,50000,31.9,33,-1.2,"10–14"
4,"(Intercept)",-8.2011,-8.3232,-8.0811,50000,42.2,4048.8,-1.6,"15–19"
4,"dep_rate",0.8886,0.5488,1.2311,50000,42.2,3664.7,1.9,"15–19"
4,"alpha",0.0233,-0.0393,0.0852,50000,33.4,7778.9,0.2,"15–19"
4,"tau2.int",0.2126,0.1587,0.2814,50000,100,246.5,-0.7,"15–19"
4,"tau2.slo",0.0388,0.0028,0.1348,50000,100,13.8,-2.1,"15–19"
4,"rho.int",0.9761,0.9372,0.9971,50000,41.3,1368.8,1,"15–19"
4,"rho.slo",0.458,0.0672,0.9164,50000,44.3,33.5,5,"15–19"
5,"(Intercept)",-7.73,-7.8327,-7.6268,50000,31,3216.1,1.1,"20–24"
