"AgeGroup","Parameter","Mean","2.5%","97.5%","n.sample","% accept","n.effective","Geweke.diag","AgeLabel"
1,"(Intercept)",-6.6294,-6.6996,-6.5594,50000,41.9,3841,-0.3,"0–4"
1,"dep_rate",0.3238,0.1306,0.5184,50000,41.9,4424.3,0.4,"0–4"
1,"alpha",0.1189,0.0864,0.151,50000,36.3,6753.8,-6.4,"0–4"
1,"tau2.int",0.19,0.1622,0.221,50000,100,971.3,-0.4,"0–4"
1,"tau2.slo",0.0112,0.0026,0.0336,50000,100,26.5,4,"0–4"
1,"rho.int",0.9754,0.9406,0.9963,50000,43.7,4872.7,0,"0–4"
1,"rho.slo",0.4744,0.0155,0.9718,50000,34.5,17.3,-0.5,"0–4"
2,"(Intercept)",-9.1515,-9.329,-8.9693,50000,33.6,3273.6,0.9,"5–9"
2,"dep_rate",0.8795,0.3532,1.3968,50000,33.6,3499.3,-1.2,"5–9"
2,"alpha",0.1739,0.0796,0.2712,50000,31.3,9694.1,0,"5–9"
2,"tau2.int",0.1982,0.1306,0.2836,50000,100,136.7,-1.7,"5–9"
2,"tau2.slo",0.0106,0.0024,0.0396,50000,100,15.3,1.8,"5–9"
2,"rho.int",0.9744,0.9228,0.9974,50000,46.8,570,4.7,"5–9"
2,"rho.slo",0.4414,0.0272,0.9013,50000,34.2,27.4,-0.5,"5–9"
3,"(Intercept)",-8.7486,-8.8915,-8.6035,50000,53.8,4305,-2.1,"10–14"
3,"dep_rate",0.9646,0.5481,1.373,50000,53.8,4638.8,1.2,"10–14"
3,"alpha",0.0126,-0.067,0.0916,50000,31.7,8945,-1.7,"10–14"
3,"tau2.int",0.201,0.1408,0.2676,50000,100,214.7,-1.4,"10–14"
3,"tau2.slo",0.0206,0.0019,0.0892,50000,100,9.9,2,"10–14"
3,"rho.int",0.9743,0.93,0.9968,50000,52,1219.7,1.4,"10–14"
3,"rho.slo",0.4465,0.043,0.9391,50000,30.3,26.5,0.9,"10–14"
4,"(Intercept)",-7.1712,-7.2585,-7.0844,50000,36.9,3659.2,-1.6,"15–19"
4,"dep_rate",0.3397,0.0972,0.5821,50000,36.9,4387.5,1.3,"15–19"
4,"alpha",-0.0157,-0.0551,0.0235,50000,33.1,5209.5,3.3,"15–19"
4,"tau2.int",0.3913,0.3424,0.4437,50000,100,1381.4,-0.4,"15–19"
4,"tau2.slo",0.0186,0.0062,0.0647,50000,100,15.1,0.3,"15–19"
4,"rho.int",0.9637,0.9202,0.9926,50000,45,4932.1,-1.4,"15–19"
4,"rho.slo",0.5736,0.0554,0.9598,50000,38.6,34.5,3,"15–19"
5,"(Intercept)",-6.628,-6.7065,-6.5504,50000,29,2319.2,2,"20–24"
5,"dep_rate",0.4144,0.2099,0.6213,50000,29,2769.6,-1.9,"20–24"
5,"alpha",-0.1966,-0.23,-0.1624,50000,37.7,1475,0,"20–24"
5,"tau2.int",0.5603,0.5035,0.6216,50000,100,2913,0.2,"20–24"
5,"tau2.slo",0.0464,0.0206,0.0821,50000,100,48.8,1.7,"20–24"
5,"rho.int",0.8589,0.7679,0.9357,50000,44.8,2454.4,-0.9,"20–24"
5,"rho.slo",0.9476,0.7903,0.9968,50000,33.2,122,-0.5,"20–24"
6,"(Intercept)",-6.3396,-6.4016,-6.2771,50000,34.9,3006.2,-1.3,"25–29"
6,"dep_rate",0.4944,0.3228,0.6628,50000,34.9,3401.6,1.1,"25–29"
6,"alpha",-0.1806,-0.2098,-0.1508,50000,33.5,1012.3,-2.5,"25–29"
6,"tau2.int",0.3098,0.2765,0.3455,50000,100,2338.7,-1.6,"25–29"
6,"tau2.slo",0.0293,0.014,0.05,50000,100,52.7,0.2,"25–29"
6,"rho.int",0.9315,0.8711,0.9782,50000,46.1,4347.8,0,"25–29"
6,"rho.slo",0.9913,0.9687,0.9995,50000,40.4,550.9,0.2,"25–29"
7,"(Intercept)",-5.9822,-6.0382,-5.9249,50000,42.2,2951.9,-0.4,"30–34"
7,"dep_rate",0.349,0.1953,0.5004,50000,42.2,3255.7,0.6,"30–34"
7,"alpha",-0.0833,-0.1116,-0.0557,50000,36.3,1029.3,-0.6,"30–34"
7,"tau2.int",0.3624,0.327,0.3996,50000,100,2784.7,-1.2,"30–34"
7,"tau2.slo",0.047,0.0291,0.0731,50000,100,94.3,0.7,"30–34"
7,"rho.int",0.9357,0.8779,0.9801,50000,42.2,5009.9,-0.2,"30–34"
