"FIPS","State","County","MentalHealthDays","Year"
"01001","Alabama","Autauga",4.14,2010
"01003","Alabama","Baldwin",4.06,2010
"01005","Alabama","Barbour",3.84,2010
"01007","Alabama","Bibb",5.31,2010
"01009","Alabama","Blount",4.47,2010
"01011","Alabama","Bullock",2.84,2010
"01013","Alabama","Butler",3.1,2010
"01015","Alabama","Calhoun",4.84,2010
"01017","Alabama","Chambers",4.89,2010
"01019","Alabama","Cherokee",4.28,2010
"01021","Alabama","Chilton",5.12,2010
"01023","Alabama","Choctaw",4.02,2010
"01025","Alabama","Clarke",2.43,2010
"01027","Alabama","Clay",3.96,2010
"01029","Alabama","Cleburne",4.64,2010
"01031","Alabama","Coffee",4.26,2010
"01033","Alabama","Colbert",4.7,2010
"01035","Alabama","Conecuh",3.41,2010
"01037","Alabama","Coosa",2.18,2010
"01039","Alabama","Covington",3.17,2010
"01041","Alabama","Crenshaw",4.45,2010
"01043","Alabama","Cullman",5.29,2010
"01045","Alabama","Dale",3.73,2010
"01047","Alabama","Dallas",3.93,2010
"01049","Alabama","DeKalb",4.9,2010
"01051","Alabama","Elmore",3.15,2010
"01053","Alabama","Escambia",4.04,2010
"01055","Alabama","Etowah",4.17,2010
"01057","Alabama","Fayette",6.1,2010
"01059","Alabama","Franklin",4.74,2010
"01061","Alabama","Geneva",3.04,2010
"01063","Alabama","Greene",5.95,2010
"01065","Alabama","Hale",3.58,2010
"01067","Alabama","Henry",3.67,2010
"01069","Alabama","Houston",5.14,2010
"01071","Alabama","Jackson",5.06,2010
"01073","Alabama","Jefferson",3.53,2010
"01075","Alabama","Lamar",5.39,2010
"01077","Alabama","Lauderdale",4.09,2010
"01079","Alabama","Lawrence",4.43,2010
"01081","Alabama","Lee",4.37,2010
"01083","Alabama","Limestone",3.78,2010
"01085","Alabama","Lowndes",4.6,2010
"01087","Alabama","Macon",1.86,2010
"01089","Alabama","Madison",3.32,2010
"01091","Alabama","Marengo",3.66,2010
"01093","Alabama","Marion",4.34,2010
"01095","Alabama","Marshall",4.5,2010
"01097","Alabama","Mobile",4.62,2010
"01099","Alabama","Monroe",4.07,2010
"01101","Alabama","Montgomery",3.33,2010
"01103","Alabama","Morgan",3.77,2010
"01105","Alabama","Perry",4.83,2010
"01107","Alabama","Pickens",3.36,2010
"01109","Alabama","Pike",3.54,2010
"01111","Alabama","Randolph",4.57,2010
"01113","Alabama","Russell",4.47,2010
"01115","Alabama","St. Clair",3.97,2010
"01117","Alabama","Shelby",3.61,2010
"01119","Alabama","Sumter",4.43,2010
"01121","Alabama","Talladega",4.86,2010
"01123","Alabama","Tallapoosa",5.53,2010
"01125","Alabama","Tuscaloosa",4.27,2010
"01127","Alabama","Walker",4.49,2010
"01129","Alabama","Washington",2.06,2010
"01131","Alabama","Wilcox",5.73,2010
"01133","Alabama","Winston",6.34,2010
"02013","Alaska","Aleutians East",4.89,2010
"02016","Alaska","Aleutians West",1.81,2010
"02020","Alaska","Anchorage",3.05,2010
"02050","Alaska","Bethel",2.86,2010
"02060","Alaska","Bristol Bay",2.41,2010
"02068","Alaska","Denali",2.23,2010
"02070","Alaska","Dillingham",2.49,2010
"02090","Alaska","Fairbanks North Star",2.84,2010
"02100","Alaska","Haines",2.96,2010
"02110","Alaska","Juneau",2.81,2010
"02122","Alaska","Kenai Peninsula",3.2,2010
"02130","Alaska","Ketchikan Gateway",3.63,2010
"02150","Alaska","Kodiak Island",1.95,2010
"02164","Alaska","Lake and Peninsula",1.2,2010
"02170","Alaska","Matanuska-Susitna",3.74,2010
"02180","Alaska","Nome",2.46,2010
"02185","Alaska","North Slope",1.47,2010
"02188","Alaska","Northwest Arctic",1.93,2010
"02201","Alaska","Prince of Wales-Outer Ketchikan",3.19,2010
"02220","Alaska","Sitka",3.22,2010
"02232","Alaska","Skagway-Hoonah-Angoon",2.4,2010
"02240","Alaska","Southeast Fairbanks",2.94,2010
"02261","Alaska","Valdez-Cordova",3.28,2010
"02270","Alaska","Wade Hampton",3.14,2010
"02280","Alaska","Wrangell-Petersburg",2.21,2010
"02282","Alaska","Yakutat",3.68,2010
"02290","Alaska","Yukon-Koyukuk",2.54,2010
"04001","Arizona","Apache",3.84,2010
"04003","Arizona","Cochise",3.6,2010
"04005","Arizona","Coconino",3.04,2010
"04007","Arizona","Gila",5.06,2010
"04009","Arizona","Graham",4.55,2010
"04011","Arizona","Greenlee",2.85,2010
"04012","Arizona","La Paz",3.95,2010
"04013","Arizona","Maricopa",3.08,2010
"04015","Arizona","Mohave",3.64,2010
"04017","Arizona","Navajo",3.82,2010
"04019","Arizona","Pima",3.38,2010
"04021","Arizona","Pinal",3.35,2010
"04023","Arizona","Santa Cruz",2.42,2010
"04025","Arizona","Yavapai",3.98,2010
"04027","Arizona","Yuma",2.93,2010
"05001","Arkansas","Arkansas",3.59,2010
"05003","Arkansas","Ashley",4.48,2010
"05005","Arkansas","Baxter",3.49,2010
"05007","Arkansas","Benton",2.73,2010
"05009","Arkansas","Boone",3.03,2010
"05011","Arkansas","Bradley",5.38,2010
"05013","Arkansas","Calhoun",2.05,2010
"05015","Arkansas","Carroll",4.24,2010
"05017","Arkansas","Chicot",5.41,2010
"05019","Arkansas","Clark",3.3,2010
"05021","Arkansas","Clay",4.71,2010
"05023","Arkansas","Cleburne",3.95,2010
"05025","Arkansas","Cleveland",5.49,2010
"05027","Arkansas","Columbia",4.35,2010
"05029","Arkansas","Conway",3.81,2010
"05031","Arkansas","Craighead",3.58,2010
"05033","Arkansas","Crawford",2.94,2010
"05035","Arkansas","Crittenden",4.76,2010
"05037","Arkansas","Cross",4.32,2010
"05039","Arkansas","Dallas",2.76,2010
"05041","Arkansas","Desha",3.07,2010
"05043","Arkansas","Drew",3.35,2010
"05045","Arkansas","Faulkner",3.39,2010
"05047","Arkansas","Franklin",3.82,2010
"05049","Arkansas","Fulton",3.7,2010
"05051","Arkansas","Garland",4.16,2010
"05053","Arkansas","Grant",5.05,2010
"05055","Arkansas","Greene",4.49,2010
"05057","Arkansas","Hempstead",5.5,2010
"05059","Arkansas","Hot Spring",3.71,2010
"05061","Arkansas","Howard",3.29,2010
"05063","Arkansas","Independence",5.12,2010
"05065","Arkansas","Izard",2.91,2010
"05067","Arkansas","Jackson",3.75,2010
"05069","Arkansas","Jefferson",3.56,2010
"05071","Arkansas","Johnson",3.74,2010
"05073","Arkansas","Lafayette",4.87,2010
"05075","Arkansas","Lawrence",3.84,2010
"05077","Arkansas","Lee",3.37,2010
"05079","Arkansas","Lincoln",4.1,2010
"05081","Arkansas","Little River",4.46,2010
"05083","Arkansas","Logan",4.16,2010
"05085","Arkansas","Lonoke",3.6,2010
"05087","Arkansas","Madison",2.17,2010
"05089","Arkansas","Marion",3.43,2010
"05091","Arkansas","Miller",3.24,2010
"05093","Arkansas","Mississippi",4.93,2010
"05095","Arkansas","Monroe",2.52,2010
"05097","Arkansas","Montgomery",3.99,2010
"05099","Arkansas","Nevada",4.92,2010
"05101","Arkansas","Newton",3.89,2010
"05103","Arkansas","Ouachita",4.32,2010
"05105","Arkansas","Perry",4.29,2010
"05107","Arkansas","Phillips",5.08,2010
"05109","Arkansas","Pike",3.07,2010
"05111","Arkansas","Poinsett",5.33,2010
"05113","Arkansas","Polk",4.61,2010
"05115","Arkansas","Pope",3.15,2010
"05117","Arkansas","Prairie",4.39,2010
"05119","Arkansas","Pulaski",3.41,2010
"05121","Arkansas","Randolph",4.57,2010
"05123","Arkansas","St. Francis",5.69,2010
"05125","Arkansas","Saline",4.23,2010
"05127","Arkansas","Scott",3.43,2010
"05129","Arkansas","Searcy",5.36,2010
"05131","Arkansas","Sebastian",3.86,2010
"05133","Arkansas","Sevier",2.72,2010
"05135","Arkansas","Sharp",7.79,2010
"05137","Arkansas","Stone",4.12,2010
"05139","Arkansas","Union",3.19,2010
"05141","Arkansas","Van Buren",4.58,2010
"05143","Arkansas","Washington",3.11,2010
"05145","Arkansas","White",3,2010
"05147","Arkansas","Woodruff",3.05,2010
"05149","Arkansas","Yell",3.79,2010
"06001","California","Alameda",3.46,2010
"06003","California","Alpine",NA,2010
"06005","California","Amador",3.5,2010
"06007","California","Butte",3.62,2010
"06009","California","Calaveras",2.27,2010
"06011","California","Colusa",NA,2010
"06013","California","Contra Costa",3.79,2010
"06015","California","Del Norte",6.39,2010
"06017","California","El Dorado",2.79,2010
"06019","California","Fresno",3.4,2010
"06021","California","Glenn",5.03,2010
"06023","California","Humboldt",4.14,2010
"06025","California","Imperial",5.06,2010
"06027","California","Inyo",4.46,2010
"06029","California","Kern",4.37,2010
"06031","California","Kings",2.93,2010
"06033","California","Lake",3.94,2010
"06035","California","Lassen",NA,2010
"06037","California","Los Angeles",3.77,2010
"06039","California","Madera",4.12,2010
"06041","California","Marin",2.03,2010
"06043","California","Mariposa",NA,2010
"06045","California","Mendocino",3.39,2010
"06047","California","Merced",4.19,2010
"06049","California","Modoc",NA,2010
"06051","California","Mono",NA,2010
"06053","California","Monterey",3.41,2010
"06055","California","Napa",4.05,2010
"06057","California","Nevada",3.37,2010
"06059","California","Orange",3.05,2010
"06061","California","Placer",3.29,2010
"06063","California","Plumas",3.31,2010
"06065","California","Riverside",3.7,2010
"06067","California","Sacramento",4.03,2010
"06069","California","San Benito",3.16,2010
"06071","California","San Bernardino",3.87,2010
"06073","California","San Diego",3.36,2010
"06075","California","San Francisco",3.23,2010
"06077","California","San Joaquin",3.91,2010
"06079","California","San Luis Obispo",4.41,2010
"06081","California","San Mateo",2.72,2010
"06083","California","Santa Barbara",3.49,2010
"06085","California","Santa Clara",2.8,2010
"06087","California","Santa Cruz",3.56,2010
"06089","California","Shasta",3.79,2010
"06091","California","Sierra",NA,2010
"06093","California","Siskiyou",5.1,2010
"06095","California","Solano",3.38,2010
"06097","California","Sonoma",4.15,2010
"06099","California","Stanislaus",3.61,2010
"06101","California","Sutter",2.6,2010
"06103","California","Tehama",3.74,2010
"06105","California","Trinity",NA,2010
"06107","California","Tulare",4.46,2010
"06109","California","Tuolumne",4.03,2010
"06111","California","Ventura",3.91,2010
"06113","California","Yolo",3.49,2010
"06115","California","Yuba",3.59,2010
"08001","Colorado","Adams",3.27,2010
"08003","Colorado","Alamosa",2.72,2010
"08005","Colorado","Arapahoe",3.1,2010
"08007","Colorado","Archuleta",2.6,2010
"08009","Colorado","Baca",3,2010
